date,close,vol,vol2,vol3,br,ar,mtm,mtma,rsi1,rsi2,kdj-j,hsl,mms
 2020/01/17,18.86,13523446,154724,179473,166.25,135.33,0.57,1.93,53.51,61.46,50.92,1.66,66.08
 2020/01/20,18.91,12518988,136121,173147,180.3,141.24,0.43,1.6,55.14,62.07,44.54,1.54,63.03
 2020/01/21,18.18,17854156,139519,165122,152.64,129.91,-0.12,1.15,34.16,49.69,6.13,2.19,54.04
 2020/01/22,18.14,16219513,148383,164095,147.99,136.19,0.05,0.83,33.33,49.11,-1.01,1.99,48.15
 2020/01/23,17.26,20706882,161646,167970,123.01,117.25,-1.18,0.25,20.27,38.29,-9.31,2.55,37.21
 2020/02/03,15.53,25550400,185700,170212,101.27,121.86,-2.58,-0.47,10.53,26,-17.34,3.14,27.65
 2020/02/04,16.24,22114828,204892,170506,103.33,128.74,-2.33,-0.96,27.65,35.3,-4.97,2.72,22.94
 2020/02/05,16.29,20694340,210572,175046,110.46,135.62,-3.02,-1.53,28.8,35.92,4.02,2.54,23.28
 2020/02/06,16.43,18087736,214308,181346,103.43,123.76,-3.15,-2.04,32.41,37.73,13.64,2.22,29.07
 2020/02/07,16.3,12160405,197215,179431,99.1,122.55,-2.91,-2.53,30.68,36.68,17.65,1.49,29.82
 2020/02/10,17.8,33016272,212147,198924,113.9,143.53,-1.4,-2.57,60.18,53.15,55.29,4.06,38.25
 2020/02/11,17.34,24204700,216327,210609,103.05,129.06,-1.86,-2.44,52.03,48.9,72.32,2.97,43.81
 2020/02/12,17.64,17206400,209351,209962,109.62,139.77,-1.22,-2.26,56.63,51.65,96.34,2.11,51.12
 2020/02/13,17.82,21944208,217064,215686,109.32,138.24,-1.09,-1.94,59.43,53.3,102.04,2.7,51.23
 2020/02/14,18.23,20582638,233908,215562,100.76,133.33,0.05,-1.41,65.51,56.94,113.9,2.53,55.01
 2020/02/17,18.71,22503184,212882,212515,97.53,136.81,0.57,-0.83,71.51,60.85,118.48,2.77,59.31
 2020/02/18,18.55,19942992,204359,210343,96.29,131.07,1.29,-0.38,66.86,58.91,113.76,2.45,61.85
 2020/02/19,18.55,22101540,214149,211750,102.38,143.31,3.02,0.44,66.86,58.91,100.97,2.72,62.69
 2020/02/20,18.64,20690956,211643,214353,92.11,135.47,2.4,1.04,68.52,59.77,95.4,2.54,62.13
